Acele et!	Hurry up!	phrase
Aferin!	Well done!	phrase
Afiyet olsun!	Enjoy your meal!	phrase
Afrika pengueni	African penguin	noun
Akdeniz	Mediterranean Sea	noun
Allah aşkına	for god's sake	phrase
Allah'a ısmarladık!	Goodbye!	phrase
Almanca	German	noun
Almanca'da / İngilizce'de ... nasıl deniyor?	How do you say ... in German / English?	phrase
Almanya	Germany <.de>	noun
Alo!	Hello!	phrase
Amerika nar bülbülü	American robin	noun
Amerika puhusu	great horned owl	noun
Amerikan	American <Am.>	adj
Anadolu	Anatolia	noun
And kondoru	Andean condor	noun
Andorralı	Andorran	noun
Anlamıyorum	I don't understand.	phrase
Apollon	Apollo	noun
Arakne	Arachne	noun
Ares	Ares	noun
Arjantin	Argentina	noun
Arnavut	Albanian	noun
Arnavutluk	Albania <.al>	noun
Asla!	Out of the question!	phrase
Asperger sendromu	Asperger syndrome <AS>	noun
Asperger sendromu	Asperger's syndrome <AS>	noun
Asya	Asia	noun
Avar	Avar	noun
Avrupa	Europe	noun
Avustralya	Australia <.au>	noun
Avustralyalı	Australian	noun
Baird tapiri	Baird's tapir	noun
Bali Denizi	Bali Sea	noun
Balmer serileri	Balmer series	noun
Başka bir şey?	Anything else?	phrase
Ben Avusturya'danım.	I am from Austria.	phrase
Ben de! [olumsuz]	Me neither! [coll.]	phrase
Beni ilgilendirmez.	I don't care.	phrase
Benim Adım Kırmızı [Orhan Pamuk]	My Name Is Red	phrase
Benim adım Frank.	My name is Frank.	phrase
Benim sıram.	It's my turn.	phrase
Bilmem.	I don't know.	phrase
Bilmiyorum.	I don't know.	phrase
Bir şey değil!	You are welcome!	phrase
Brezilya	Brazil <.br>	noun
Brezilyalı	Brazilian	adj
Burada yabancıyım.	I'm a stranger here.	phrase
Buyrun!	Here you are!	phrase
Buyurun!	Here you are!	phrase
Cava Denizi	Java Sea	noun
Celebes Denizi	Celebes Sea	noun
Cezayir	Algeria	noun
Ciddiye alma!	Take it easy!	phrase
Danimarka	Denmark	noun
Dikkat et!	Be careful!	phrase
Dorian Gray'in Portresi	The Picture of Dorian Gray [Oscar Wilde]	phrase
Doğu Avrupa	Eastern Europe	noun
Dur!	Stop it!	phrase
Dur!	Stop!	phrase
Efendim?	I beg your pardon?	phrase
Efendim?	Pardon?	phrase
Ege Denizi	Aegean Sea	noun
Ejder Yürek	Dragonheart [Rob Cohen]	phrase
Ekim	October	noun
Etrüsk	Etruscan	adj
Euripides	Euripides	noun
Farketmez!	Never mind!	phrase
Fas	Morocco	noun
Fazlaca kalabalıktı.	It was too crowded.	phrase
Finlandiya	Finland	noun
Fiyatı nedir?	How much is it?	phrase
Fransa	France <.fr>	noun
Fransızca	French <Fr.>	adj
Gana	Ghana <.gh>	noun
Gidelim!	Let's go!	phrase
Görüşme üzere!	See you soon!	phrase
Görüşürüz!	See you soon!	phrase
Görüşürüz!	See you!	phrase
Görüşürüz.	See you.	phrase
Güle güle!	Bye!	phrase
Güle güle!	Goodbye!	phrase
Günaydın!	Good morning!	phrase
Gürcü	Georgian	noun
Hadi!	Come on!	phrase
Hadi!	Go ahead!	phrase
Hamsin Yortusu	Pentecost	noun
Hayırlı sabahlar!	Good morning!	phrase
Hesabı lütfen!	The bill please! [Br.]	phrase
Hitler oyuncağımı çaldı	When Hitler Stole Pink Rabbit [Judith Kerr]	phrase
Hiç bir suretle!	Out of the question!	phrase
Hollanda	Netherlands	noun
Hoşça kal!	Goodbye!	phrase
Hoşçakal!	Cheerio!	phrase
Humboldt pengueni [Spheniscus humboldti]	Humboldt penguin	noun
Japon	Japanese	adj
Japonya	Japan <.jp>	noun
Kabul ediyorum.	I agree.	phrase
Kalvinizm	Calvinism	noun
Kamboçya	Cambodia	noun
Kanadalı	Canadian	noun
Karadeniz	Black Sea	noun
Kazak	Kazakh	noun
Kolay gelsin!	Good luck! [wishing success]	phrase
